"","V1"
"1",0.277530118208701
"2",0.734738300042476
"3",0.696627360833973
"4",0.190583842446832
"5",0.700544313695525
"6",0.0178815905307665
"7",0.348839259121269
"8",0.110654896207972
"9",0.122945390756885
"10",0.457091173709885
"11",0.343019701571117
"12",0.795531128842092
"13",0.925097376236363
"14",0.275437461499256
"15",0.2371378771977
"16",0.310130616318568
"17",0.287523889127011
"18",0.699824778131869
"19",0.285551110452651
"20",0.754475863368202
"21",0.542736914278323
"22",0.58840545372091
"23",0.653506471617998
"24",0.2266651809694
"25",0.310243609529292
"26",0.791671167869669
"27",0.0581062338054723
"28",0.19749810960961
"29",0.456005360139584
"30",0.489463785817104
"31",0.472208078823055
"32",0.138203935453745
"33",0.736779379619526
"34",0.226510848765986
"35",0.167984548920058
"36",0.626372239149534
"37",0.477477121051306
"38",0.336632410622765
"39",0.171959816669239
"40",0.307096251654505
"41",0.276116397312073
"42",0.835022003817319
"43",0.109026827413722
"44",0.292027458394032
"45",0.207179413173944
"46",0.140557296891705
"47",0.310859820545274
"48",0.029529745760211
"49",0.389030927658337
"50",0.0288104556743944
"51",0.824174968115774
"52",0.247277883623416
"53",0.0460527469520798
"54",0.311805767356494
"55",0.567561498440867
"56",0.726109448896878
"57",0.565572251303929
"58",0.511387782888209
"59",0.242547092446034
"60",0.273070098896344
"61",0.0883876880698174
"62",0.776832656157452
"63",0.170766724498585
"64",0.383571459122145
"65",0.384961791413503
"66",0.102584291235023
"67",0.380803122539428
"68",0.173282646652152
"69",0.0176164572040308
"70",0.762732904411468
"71",0.815694073416627
"72",0.548470121629166
"73",0.857367092154941
"74",0.00213991274992023
"75",0.0886955477268367
"76",0.183210469446789
"77",0.292634101122298
"78",0.0851045720878778
"79",0.219940322380903
"80",0.872912616352759
"81",0.149084638512557
"82",0.069593887503475
"83",0.625570401676928
"84",0.768247473582603
"85",0.287817176476181
"86",0.463581163755955
"87",0.00516201125318866
"88",0.137211336778073
"89",0.408738514580386
"90",0.299655878806586
"91",0.0504254694200494
"92",0.0293434398829894
"93",0.258032322983628
"94",0.128700029798193
"95",0.313065075783231
"96",0.209478887130133
"97",0.163824106770129
"98",0.337061855024614
"99",0.0728333103577443
"100",0.81936445532819
"101",0.708779783044272
"102",0.64703450904
"103",0.469042027452372
"104",0.105318283100157
"105",0.131443110118395
"106",0.119042121879975
"107",0.423838145749126
"108",0.0442453011928224
"109",0.666403840612099
"110",0.206875697052936
"111",0.00713137024989124
"112",0.0876633009215958
"113",0.0595309327547778
"114",0.490410882753723
"115",0.600366479703995
